date,Transaction balances,Savings balances,Term deposit balances,Household Loans
Dec 2016,"21,103","54,055","80,619","170,288"
Jan 2017,"20,646","53,479","81,301","171,337"
Feb 2017,"20,724","52,864","82,377","172,095"
Mar 2017,"21,346","52,987","83,485","173,113"
Apr 2017,"21,529","52,551","85,057","174,080"
May 2017,"21,643","51,912","86,337","175,064"
Jun 2017,"21,708","51,645","87,355","175,908"
Jul 2017,"21,538","51,075","88,485","176,251"
Aug 2017,"21,770","50,672","89,388","177,188"
Sep 2017,"22,033","50,956","89,933","178,176"
Oct 2017,"22,558","51,330","90,429","179,135"
Nov 2017,"22,876","51,316","91,141","180,049"
Dec 2017,"23,096","51,304","92,436","181,338"
Jan 2018,"22,894","51,039","92,399","182,195"
Feb 2018,"23,085","51,084","92,832","183,003"
Mar 2018,"23,879","51,405","93,689","184,123"
Apr 2018,"23,857","51,407","94,331","185,142"
May 2018,"23,679","51,347","95,069","186,325"
Jun 2018,"23,781","51,473","96,276","187,449"
Jul 2018,"23,816","51,665","97,196","188,277"
Aug 2018,"23,633","51,513","97,993","189,468"
Sep 2018,"23,978","51,562","98,633","190,358"
Oct 2018,"24,673","51,740","99,142","191,335"
Nov 2018,"24,482","51,630","99,199","192,771"
Dec 2018,"25,063","51,770","100,311","193,859"
Jan 2019,"24,343","51,594","100,490","194,744"
Feb 2019,"24,377","51,635","100,901","195,781"
Mar 2019,"24,895","51,873","101,212","196,935"
Apr 2019,"25,608","52,096","101,871","198,004"
May 2019,"25,462","52,061","102,776","199,332"
Jun 2019,"25,615","52,097","103,085","200,538"
Jul 2019,"26,276","52,007","103,464","201,371"
Aug 2019,"25,796","52,111","103,867","202,793"
Sep 2019,"26,668","52,849","103,476","203,890"
Oct 2019,"27,428","53,408","103,003","204,976"
Nov 2019,"27,847","53,906","102,386","206,531"
Dec 2019,"28,658","54,405","101,922","207,922"
Jan 2020,"28,250","54,595","101,176","209,077"
Feb 2020,"28,581","54,981","100,924","210,210"
Mar 2020,"31,089","56,726","101,185","210,690"
Apr 2020,"32,775","58,951","100,968","209,162"
May 2020,"33,155","59,506","101,385","210,517"
Jun 2020,"33,828","60,328","100,931","211,555"
Jul 2020,"34,651","61,681","100,002","212,814"
Aug 2020,"35,752","63,233","98,524","214,117"
Sep 2020,"38,082","65,245","96,918","214,695"
Oct 2020,"39,243","67,705","94,693","216,584"
Nov 2020,"39,860","69,019","92,099","218,733"
Dec 2020,"41,895","70,920","90,272","220,737"
Jan 2021,"41,949","71,708","88,270","222,254"
Feb 2021,"42,685","72,428","86,461","223,880"
Mar 2021,"45,798","74,165","84,809","226,055"
Apr 2021,"46,299","75,268","83,370","228,221"
May 2021,"46,400","75,258","82,321","230,614"
Jun 2021,"47,673","76,002","82,140","232,716"
Jul 2021,"48,031","76,378","81,785","234,935"
Aug 2021,"48,918","77,201","80,941","235,592"
Sep 2021,"50,389","78,063","80,670","237,389"
Oct 2021,"50,852","78,668","80,863","239,477"
Nov 2021,"51,816","78,695","81,450","240,215"
Dec 2021,"53,375","80,053","83,250","242,168"
Jan 2022,"52,295","79,934","83,441","243,408"
Feb 2022,"52,408","80,240","83,886","244,469"
Mar 2022,"52,960","80,543","85,359","245,479"
Apr 2022,"53,014","80,249","86,185","246,437"
May 2022,"52,015","79,944","88,170","247,391"
Jun 2022,"51,564","79,690","91,134","248,205"
Jul 2022,"50,365","79,015","93,824","248,960"
Aug 2022,"49,632","77,806","96,408","249,710"
Sep 2022,"48,838","78,036","98,089","250,704"
Oct 2022,"47,479","78,012","99,747","251,694"
Nov 2022,"47,100","77,927","101,250","253,008"
Dec 2022,"46,251","76,981","104,987","254,038"
Jan 2023,"44,410","76,160","106,593","254,668"
Feb 2023,"43,967","75,853","108,025","255,190"
Mar 2023,"43,592","75,396","110,353","255,948"
Apr 2023,"42,902","75,046","112,557","256,664"
May 2023,"42,211","74,504","114,604","257,534"
Jun 2023,"41,326","74,703","116,763","258,809"
Jul 2023,"40,942","75,057","118,598","259,580"
Aug 2023,"40,428","74,931","120,501","260,430"
Sep 2023,"39,967","75,531","121,433","261,393"
Oct 2023,"39,700","75,610","123,198","262,450"
Nov 2023,"39,252","75,309","125,159","263,655"
Dec 2023,"39,389","75,387","126,875","264,029"
Jan 2024,"38,999","74,809","127,793","264,623"
Feb 2024,"38,266","74,481","128,774","265,323"
Mar 2024,"38,622","75,108","129,994","266,337"
Apr 2024,"38,301","74,889","131,488","267,008"
May 2024,"38,409","74,806","132,898","267,996"
Jun 2024,"37,469","74,895","133,958","268,819"
Jul 2024,"38,481","75,211","136,107","269,192"
Aug 2024,"37,045","74,569","137,678","270,109"
Sep 2024,"37,333","76,183","139,289","271,307"
Oct 2024,"38,150","76,422","139,947","272,476"
Nov 2024,"37,972","76,941","140,539","273,922"
Dec 2024,"39,631","77,860","141,611","275,190"
Jan 2025,"38,548","77,760","142,084","276,122"
Feb 2025,"38,965","78,084","141,602","276,922"
Mar 2025,"39,445","79,322","140,897","278,134"
Apr 2025,"40,602","79,654","141,878","279,165"
May 2025,"40,025","79,163","143,083","280,590"
Jun 2025,"40,395","79,624","143,123","281,702"
Jul 2025,"41,192","80,153","143,880","282,398"
Aug 2025,"40,158","79,826","144,564","283,757"
